id_movimiento,fecha,almacen,provincia,producto,categoria,caduca,estado_ciclo,cantidad,costo_almacenamiento,fecha_vencimiento
18,2024-09-28 20:42:36,Sucursal Córdoba,Córdoba,Fertilizante granulado,Jardinería,False,Retornado inventario,87.0,95.58,
19,2024-09-28 02:12:15,Sucursal Mendoza,Mendoza,Interruptor simple,Electricidad,False,En inspección,57.0,36.7,
20,2024-10-22 21:46:37,Sucursal Mendoza,Mendoza,Flexibles de acero,Plomería,False,Removido inventario,44.0,55.1,
21,2024-12-10 10:19:40,Sucursal Mendoza,Mendoza,Manguera 15m,Jardinería,False,Devuelto a proveedor,116.0,231.44,
22,2024-12-15 21:01:51,Sucursal Rosario,Santa Fe,Arandelas metálicas,Fijaciones,False,Boca de inspección,188.0,293.36,
23,2025-03-31 18:43:36,Sucursal Córdoba,Córdoba,Destornillador plano,Herramientas manuales,False,Retornado inventario,41.0,39.36,
24,2025-05-08 07:41:43,Sucursal Rosario,Santa Fe,Llave inglesa,Herramientas manuales,False,Devuelto cliente,,35.87,
25,2024-09-26 19:48:26,Sucursal Tucumán,Tucumán,Bomba de agua 1HP,Plomería,False,Recibido,66.0,94.02,
26,2025-04-22 11:39:26,Sucursal Mendoza,Mendoza,Alicate universal,Herramientas manuales,False,Retornado inventario,41.0,33.3,
27,2024-12-02 17:46:31,Sucursal Córdoba,Córdoba,Barniz para madera,Pinturas y químicos,True,Empacado,51.0,13.65,2025-11-26 17:46:31
28,2025-06-21 14:15:38,Sucursal Tucumán,Tucumán,Válvula esférica,Plomería,False,,89.0,157.26,
29,2025-05-26 21:50:10,Sucursal Tucumán,Tucumán,Aerosol anticorrosivo,Pinturas y químicos,True,Devuelto a proveedor,64.0,39.53,2026-02-05 21:50:10
30,2025-06-15 21:17:48,Depósito Central,Buenos Aires,Flexibles de acero,Plomería,False,Devuelto cliente,72.0,56.41,
31,2025-04-16 03:41:48,Sucursal Mendoza,Mendoza,Taladro eléctrico,Herramientas eléctricas,False,En bandeja,30.0,18.93,
32,2025-02-26 10:40:56,Depósito Central,Buenos Aires,Caño PVC 2m,Materiales construcción,False,Boca de inspección,292.0,443.09,
33,2024-12-11 03:07:46,Sucursal Córdoba,Córdoba,Alicate universal,Herramientas manuales,False,En inspección,39.0,54.11,
34,2025-03-09 23:24:21,Sucursal Mendoza,Mendoza,Válvula esférica,Plomería,False,Enviado cliente,53.0,93.83,
35,2025-05-03 08:49:42,Sucursal Tucumán,Tucumán,Guantes de trabajo,Protección personal,True,Removido inventario,100.0,187.43,2026-06-16 08:49:42
36,2025-01-02 13:23:58,Sucursal Rosario,Santa Fe,Arnés de seguridad,Protección personal,True,Enviado cliente,,64.51,2025-12-11 13:23:58
37,2025-07-27 20:54:46,Sucursal Mendoza,Mendoza,Bolsa de cemento 50kg,Materiales construcción,False,Recibido,210.0,264.38,
38,2025-08-20 02:56:25,Sucursal Córdoba,Córdoba,Caño PVC 2m,Materiales construcción,False,Recibido,102.0,33.43,
39,2024-09-19 01:02:49,Depósito Central,Buenos Aires,Amoladora angular,Herramientas eléctricas,False,Recibido,20.0,34.95,
40,2025-07-08 05:04:17,Sucursal Córdoba,Córdoba,Alicate universal,Herramientas manuales,False,En bandeja,42.0,58.97,
41,2025-07-26 11:15:14,Sucursal Córdoba,Córdoba,Caño PVC 2m,Materiales construcción,False,Removido inventario,236.0,444.61,
42,2024-11-17 12:36:24,Sucursal Rosario,Santa Fe,Regadera plástica,Jardinería,False,Devuelto a proveedor,84.0,135.43,
43,2025-06-14 15:36:17,Depósito Central,Buenos Aires,Guantes de trabajo,Protección personal,True,Boca de inspección,77.0,138.76,2026-09-09 15:36:17
44,2025-02-27 15:31:33,Sucursal Rosario,Santa Fe,Gafas protectoras,Protección personal,True,Removido inventario,72.0,27.85,2025-09-05 15:31:33
45,2025-01-26 15:50:19,Sucursal Mendoza,Mendoza,Lijadora orbital,Herramientas eléctricas,False,Boca de inspección,17.0,11.01,
46,2025-01-02 10:25:22,Sucursal Rosario,Santa Fe,Caño PVC 2m,Materiales construcción,False,En inspección,164.0,157.34,
47,2024-11-15 21:38:53,Sucursal Córdoba,Córdoba,Barniz para madera,Pinturas y químicos,True,Boca de inspección,68.0,88.19,2026-08-30 21:38:53
48,2024-12-09 03:20:37,Sucursal Tucumán,Tucumán,Martillo carpintero,Herramientas manuales,False,Recibido,55.0,106.93,
49,2025-07-10 00:45:18,Sucursal Rosario,Santa Fe,Yeso en polvo 30kg,Materiales construcción,False,Empacado,217.0,231.42,
50,2025-01-25 05:45:45,Sucursal Córdoba,Córdoba,Casco de seguridad,Protección personal,True,Retirado de bandeja,35.0,9.28,2026-05-29 05:45:45
51,2024-10-26 05:08:34,Sucursal Mendoza,Mendoza,Barniz para madera,Pinturas y químicos,True,Retirado de bandeja,88.0,166.32,2026-08-16 05:08:34
52,2024-10-22 12:55:41,Sucursal Córdoba,Córdoba,Interruptor simple,Electricidad,False,En bandeja,70.0,41.43,
53,2025-02-11 01:39:11,Sucursal Tucumán,Tucumán,Soldadora eléctrica,Herramientas eléctricas,False,Recibido,29.0,44.84,
54,2024-10-24 01:56:10,Sucursal Tucumán,Tucumán,Taladro eléctrico,Herramientas eléctricas,False,Empacado,49.0,54.15,
55,2025-02-02 22:24:16,Depósito Central,Buenos Aires,Válvula esférica,Plomería,False,Enviado cliente,105.0,36.14,
56,2025-08-11 15:41:39,Sucursal Tucumán,Tucumán,Caja de tornillos,Fijaciones,False,Boca de inspección,246.0,348.18,
57,2025-01-28 02:22:25,Depósito Central,Buenos Aires,Bloques de hormigón,Materiales construcción,False,Devuelto cliente,158.0,101.62,
58,2025-05-08 23:36:31,Sucursal Tucumán,Tucumán,Tijera de podar,Jardinería,False,Boca de inspección,72.0,68.73,
59,2024-12-28 05:59:14,Sucursal Tucumán,Tucumán,Regadera plástica,Jardinería,False,Autorizado venta,88.0,165.66,
60,2025-07-26 23:27:17,Sucursal Córdoba,Córdoba,Arena fina m3,Materiales construcción,False,En bandeja,248.0,226.28,
61,2024-10-03 09:27:41,Sucursal Mendoza,Mendoza,Barniz para madera,Pinturas y químicos,True,Boca de inspección,68.0,19.16,2026-09-29 09:27:41
62,2025-06-26 22:04:02,Depósito Central,Buenos Aires,Tijera de podar,Jardinería,False,Enviado cliente,75.0,43.78,
63,2025-03-13 22:37:27,Sucursal Mendoza,Mendoza,Esmalte sintético 1L,Pinturas y químicos,True,Boca de inspección,52.0,120.51,2026-06-24 22:37:27
64,2025-04-12 18:28:56,Sucursal Rosario,Santa Fe,Esmalte sintético 1L,Pinturas y químicos,True,Enviado cliente,50.0,95.31,2027-03-29 18:28:56
65,2024-11-03 23:56:17,Sucursal Tucumán,Tucumán,Grifería monocomando,Plomería,False,,100.0,187.72,
66,2025-09-09 16:53:24,Sucursal Mendoza,Mendoza,Destornillador plano,Herramientas manuales,False,Boca de inspección,60.0,108.09,
67,2025-02-10 12:40:13,Sucursal Mendoza,Mendoza,Válvula esférica,Plomería,False,En bandeja,78.0,100.52,
68,2024-10-17 02:56:42,Sucursal Mendoza,Mendoza,Adhesivo epoxi,Adhesivos y selladores,True,Enviado cliente,105.0,147.33,2025-03-08 02:56:42
69,2025-04-18 21:51:56,Sucursal Mendoza,Mendoza,Llave inglesa,Herramientas manuales,False,Recibido,45.0,9.29,
70,2025-01-08 09:05:37,Sucursal Córdoba,Córdoba,Tarugos plásticos,Fijaciones,False,Removido inventario,167.0,,
71,2025-08-04 15:05:09,Depósito Central,Buenos Aires,Botines de seguridad,Protección personal,True,Boca de inspección,89.0,38.81,2026-04-03 15:05:09
72,2025-05-18 15:49:18,Sucursal Mendoza,Mendoza,Grifería monocomando,Plomería,False,Devuelto cliente,118.0,140.96,
73,2025-05-14 17:29:45,Depósito Central,Buenos Aires,Guantes de trabajo,Protección personal,True,En bandeja,79.0,87.95,2025-09-21 17:29:45
74,2025-08-26 09:28:57,Sucursal Córdoba,Córdoba,Adhesivo epoxi,Adhesivos y selladores,True,Retornado inventario,119.0,59.56,2027-06-20 09:28:57
75,2025-08-17 04:09:52,Sucursal Córdoba,Córdoba,Botines de seguridad,Protección personal,True,Devuelto a proveedor,14.0,31.96,2026-05-15 04:09:52
76,2025-02-03 23:09:24,Sucursal Córdoba,Córdoba,Casco de seguridad,Protección personal,True,Removido inventario,100.0,242.33,2026-06-29 23:09:24
77,2025-04-28 17:47:10,Sucursal Córdoba,Córdoba,Arena fina m3,Materiales construcción,False,Removido inventario,204.0,80.49,
78,2024-11-30 04:44:01,Sucursal Córdoba,Córdoba,Lijadora orbital,Herramientas eléctricas,False,Devuelto a proveedor,35.0,58.44,
79,2025-06-17 03:33:34,Sucursal Mendoza,Mendoza,Lámpara LED 9W,Electricidad,False,Devuelto a proveedor,82.0,49.3,
80,2024-10-13 12:46:30,Sucursal Mendoza,Mendoza,Bloques de hormigón,Materiales construcción,False,En bandeja,100.0,175.58,
81,2024-10-04 07:35:18,Sucursal Tucumán,Tucumán,Removedor de pintura,Pinturas y químicos,True,Retirado de bandeja,74.0,136.91,2026-07-05 07:35:18
82,2025-05-31 07:53:42,Depósito Central,Buenos Aires,Silicona selladora,Adhesivos y selladores,True,En bandeja,88.0,59.65,2026-05-27 07:53:42
83,2024-12-14 00:38:24,Sucursal Tucumán,Tucumán,Taladro eléctrico,Herramientas eléctricas,False,Retirado de bandeja,62.0,50.98,
84,2025-07-13 17:59:36,Sucursal Tucumán,Tucumán,Cinta aisladora,Adhesivos y selladores,True,Enviado cliente,,35.55,2027-05-24 17:59:36
85,2025-01-06 21:45:55,Depósito Central,Buenos Aires,Arena fina m3,Materiales construcción,False,Removido inventario,159.0,156.6,
86,2024-10-17 12:11:21,Sucursal Córdoba,Córdoba,Flexibles de acero,Plomería,False,Autorizado venta,67.0,65.41,
87,2025-08-14 16:36:47,Sucursal Mendoza,Mendoza,Sellador acrílico,Adhesivos y selladores,True,Retornado inventario,102.0,228.92,2026-09-15 16:36:47
88,2024-12-15 22:14:32,Sucursal Rosario,Santa Fe,Bomba de agua 1HP,Plomería,False,Autorizado venta,88.0,81.34,
89,2025-08-19 00:41:14,Sucursal Córdoba,Córdoba,Aerosol anticorrosivo,Pinturas y químicos,True,Devuelto a proveedor,66.0,82.09,2026-12-10 00:41:14
90,2024-10-25 17:52:32,Sucursal Tucumán,Tucumán,Arandelas metálicas,Fijaciones,False,En bandeja,225.0,209.46,
91,2025-02-11 03:30:26,Sucursal Mendoza,Mendoza,Sierra circular,Herramientas eléctricas,False,Devuelto a proveedor,41.0,39.93,
92,2025-01-02 11:22:33,Sucursal Mendoza,Mendoza,Regadera plástica,Jardinería,False,Empacado,104.0,103.5,
93,2025-03-11 14:33:52,Sucursal Rosario,Santa Fe,Caño PVC 2m,Materiales construcción,False,Removido inventario,164.0,82.89,
94,2025-05-21 09:28:57,Sucursal Tucumán,Tucumán,Destornillador Philips,Herramientas manuales,False,Retornado inventario,35.0,46.88,
95,2025-08-06 10:56:48,Sucursal Córdoba,Córdoba,Silicona selladora,Adhesivos y selladores,True,Retornado inventario,70.0,69.05,2026-05-26 10:56:48
96,2025-02-05 04:57:23,Depósito Central,Buenos Aires,Caja de tornillos,Fijaciones,False,Devuelto a proveedor,126.0,248.36,
97,2024-11-18 16:31:12,Sucursal Rosario,Santa Fe,Tijera de podar,Jardinería,False,Retirado de bandeja,87.0,156.17,
98,2025-02-07 06:48:39,Sucursal Rosario,Santa Fe,Pala ancha,Jardinería,False,Empacado,86.0,79.07,
99,2025-02-01 11:50:13,Depósito Central,Buenos Aires,Caja de tornillos,Fijaciones,False,Retirado de bandeja,200.0,118.78,
100,2024-12-06 21:13:16,Depósito Central,Buenos Aires,Caño galvanizado 1m,Plomería,False,Enviado cliente,74.0,47.99,
101,2025-06-03 18:57:34,Sucursal Córdoba,Córdoba,Llave inglesa,Herramientas manuales,False,Empacado,18.0,25.23,
102,2024-12-29 04:53:16,Sucursal Mendoza,Mendoza,Flexibles de acero,Plomería,False,Empacado,69.0,89.89,
103,2025-06-16 01:54:48,Sucursal Tucumán,Tucumán,Caño galvanizado 1m,Plomería,False,Empacado,71.0,128.86,
104,2025-09-15 06:43:39,Sucursal Mendoza,Mendoza,Disyuntor 25A,Electricidad,False,Devuelto a proveedor,59.0,100.99,
105,2025-06-08 23:36:00,Sucursal Rosario,Santa Fe,Aerosol anticorrosivo,Pinturas y químicos,True,Retornado inventario,75.0,61.49,2026-11-30 23:36:00
106,2025-05-26 04:36:06,Sucursal Córdoba,Córdoba,Destornillador Philips,Herramientas manuales,False,En bandeja,46.0,37.01,
107,2024-10-14 05:59:37,Sucursal Córdoba,Córdoba,Grifería monocomando,Plomería,False,En inspección,,78.27,
108,2025-05-11 01:59:11,Depósito Central,Buenos Aires,Clavos de acero,Fijaciones,False,Retirado de bandeja,208.0,194.21,
109,2025-05-21 02:54:02,Sucursal Rosario,Santa Fe,Caño galvanizado 1m,Plomería,False,Recibido,86.0,49.22,
110,2024-11-21 23:36:07,Sucursal Tucumán,Tucumán,Gafas protectoras,Protección personal,True,Removido inventario,78.0,23.84,2026-10-01 23:36:07
111,2025-04-11 23:01:07,Depósito Central,Buenos Aires,Gafas protectoras,Protección personal,True,,32.0,30.68,2026-08-13 23:01:07
112,2025-06-26 16:25:42,Sucursal Tucumán,Tucumán,Botines de seguridad,Protección personal,True,Devuelto cliente,79.0,186.51,2027-02-05 16:25:42
113,2024-12-20 14:16:38,Sucursal Rosario,Santa Fe,Arena fina m3,Materiales construcción,False,Empacado,203.0,51.21,
114,2024-11-18 23:29:44,Sucursal Córdoba,Córdoba,Cinta aisladora,Adhesivos y selladores,True,Empacado,141.0,340.05,2026-11-15 23:29:44
115,2025-03-15 01:03:05,Sucursal Rosario,Santa Fe,Grifería monocomando,Plomería,False,Devuelto cliente,75.0,,
116,2025-02-10 21:15:18,Sucursal Rosario,Santa Fe,Taladro eléctrico,Herramientas eléctricas,False,En inspección,44.0,77.45,
117,2024-12-30 08:34:12,Sucursal Mendoza,Mendoza,Caja de tornillos,Fijaciones,False,Retirado de bandeja,198.0,156.27,
118,2025-09-10 21:44:42,Sucursal Mendoza,Mendoza,Lámpara LED 9W,Electricidad,False,Retirado de bandeja,50.0,35.04,
119,2025-05-23 01:42:15,Depósito Central,Buenos Aires,Arnés de seguridad,Protección personal,True,Empacado,108.0,32.98,2027-02-24 01:42:15
120,2025-06-10 18:36:30,Sucursal Córdoba,Córdoba,Sierra circular,Herramientas eléctricas,False,Retornado inventario,51.0,16.5,
121,2025-04-20 19:37:19,Sucursal Córdoba,Córdoba,Taladro eléctrico,Herramientas eléctricas,False,Devuelto a proveedor,51.0,87.24,
122,2024-12-10 19:26:09,Sucursal Córdoba,Córdoba,Pala ancha,Jardinería,False,En inspección,57.0,59.99,
123,2025-06-09 09:32:29,Sucursal Córdoba,Córdoba,Alicate universal,Herramientas manuales,False,Empacado,61.0,89.0,
124,2025-01-20 11:00:29,Sucursal Tucumán,Tucumán,Adhesivo epoxi,Adhesivos y selladores,True,Devuelto cliente,44.0,110.67,2025-08-15 11:00:29
125,2025-08-09 20:25:24,Depósito Central,Buenos Aires,Tarugos plásticos,Fijaciones,False,Devuelto cliente,229.0,56.38,
126,2025-07-11 21:40:32,Sucursal Rosario,Santa Fe,Aerosol anticorrosivo,Pinturas y químicos,True,Retirado de bandeja,134.0,330.05,2026-04-30 21:40:32
127,2025-07-14 21:19:03,Sucursal Córdoba,Córdoba,Alicate universal,Herramientas manuales,False,Boca de inspección,25.0,36.37,
128,2024-10-08 05:51:13,Depósito Central,Buenos Aires,Aerosol anticorrosivo,Pinturas y químicos,True,Devuelto cliente,65.0,135.94,2025-12-27 05:51:13
129,2024-12-14 11:21:24,Sucursal Mendoza,Mendoza,Caño galvanizado 1m,Plomería,False,Boca de inspección,82.0,91.08,
130,2025-08-01 16:13:46,Sucursal Rosario,Santa Fe,Silicona selladora,Adhesivos y selladores,True,Empacado,67.0,33.97,2026-11-04 16:13:46
131,2024-09-28 23:40:12,Sucursal Rosario,Santa Fe,Interruptor simple,Electricidad,False,En inspección,41.0,62.35,
132,2025-07-26 04:02:41,Sucursal Tucumán,Tucumán,Aerosol anticorrosivo,Pinturas y químicos,True,Empacado,81.0,109.17,2027-06-22 04:02:41
133,2025-01-17 00:42:34,Sucursal Córdoba,Córdoba,Removedor de pintura,Pinturas y químicos,True,Boca de inspección,53.0,48.37,2026-07-22 00:42:34
134,2025-02-19 07:36:03,Sucursal Tucumán,Tucumán,Bloques de hormigón,Materiales construcción,False,Devuelto cliente,223.0,312.81,
135,2024-12-29 12:00:00,Sucursal Rosario,Santa Fe,Silicona selladora,Adhesivos y selladores,True,Autorizado venta,57.0,39.07,2025-11-01 12:00:00
136,2024-10-12 05:23:48,Sucursal Mendoza,Mendoza,Pegamento de contacto,Adhesivos y selladores,True,En bandeja,118.0,273.75,2025-10-19 05:23:48
137,2024-12-07 10:58:36,Sucursal Tucumán,Tucumán,Grifería monocomando,Plomería,False,Devuelto a proveedor,60.0,21.25,
138,2025-09-06 03:31:10,Sucursal Tucumán,Tucumán,Gafas protectoras,Protección personal,True,Devuelto a proveedor,71.0,133.2,2027-04-21 03:31:10
139,2025-04-24 18:58:31,Depósito Central,Buenos Aires,Cable unipolar 2.5mm,Electricidad,False,En bandeja,100.0,59.89,
140,2025-08-22 20:48:44,Sucursal Tucumán,Tucumán,Arena fina m3,Materiales construcción,False,Autorizado venta,138.0,145.16,
141,2025-06-22 07:55:12,Sucursal Rosario,Santa Fe,Bomba de agua 1HP,Plomería,False,Removido inventario,85.0,101.21,
142,2025-01-16 17:29:04,Sucursal Mendoza,Mendoza,Cinta aisladora,Adhesivos y selladores,True,En bandeja,112.0,95.01,2025-08-17 17:29:04
143,2024-12-08 02:17:49,Depósito Central,Buenos Aires,Arena fina m3,Materiales construcción,False,Removido inventario,119.0,138.58,
144,2025-05-29 01:36:19,Sucursal Córdoba,Córdoba,Clavos de acero,Fijaciones,False,Removido inventario,209.0,223.96,
145,2025-03-29 09:38:48,Sucursal Tucumán,Tucumán,Regadera plástica,Jardinería,False,En bandeja,86.0,168.98,
146,2025-02-17 04:01:50,Sucursal Córdoba,Córdoba,Arena fina m3,Materiales construcción,False,Autorizado venta,239.0,125.0,
147,2025-08-26 02:19:07,Sucursal Córdoba,Córdoba,Soldadora eléctrica,Herramientas eléctricas,False,En bandeja,21.0,5.92,
148,2025-09-06 16:40:31,Sucursal Mendoza,Mendoza,Soldadora eléctrica,Herramientas eléctricas,False,Removido inventario,20.0,37.99,
149,2025-05-24 04:17:16,Depósito Central,Buenos Aires,Cable unipolar 2.5mm,Electricidad,False,,93.0,66.2,
150,2025-03-13 17:17:00,Sucursal Mendoza,Mendoza,Disyuntor 25A,Electricidad,False,En inspección,87.0,168.6,
151,2024-11-11 00:08:02,Depósito Central,Buenos Aires,Barniz para madera,Pinturas y químicos,True,Boca de inspección,86.0,103.0,2025-04-25 00:08:02
152,2024-12-28 09:20:10,Sucursal Córdoba,Córdoba,Tijera de podar,Jardinería,False,En inspección,88.0,146.08,
153,2024-11-09 17:55:23,Sucursal Córdoba,Córdoba,Pintura látex 4L,Pinturas y químicos,True,Boca de inspección,62.0,97.09,2026-04-09 17:55:23
154,2024-12-21 07:12:32,Sucursal Tucumán,Tucumán,Regadera plástica,Jardinería,False,Devuelto a proveedor,85.0,135.68,
155,2025-07-02 20:16:29,Sucursal Rosario,Santa Fe,Gafas protectoras,Protección personal,True,En bandeja,87.0,197.73,2026-12-13 20:16:29
156,2025-04-22 12:48:15,Sucursal Tucumán,Tucumán,Aerosol anticorrosivo,Pinturas y químicos,True,Recibido,62.0,104.57,2025-10-30 12:48:15
157,2025-04-13 20:06:23,Sucursal Mendoza,Mendoza,Yeso en polvo 30kg,Materiales construcción,False,Retornado inventario,293.0,101.42,
158,2024-12-27 13:24:12,Sucursal Tucumán,Tucumán,Yeso en polvo 30kg,Materiales construcción,False,Boca de inspección,223.0,107.43,
159,2025-07-03 15:08:51,Sucursal Tucumán,Tucumán,Gafas protectoras,Protección personal,True,Empacado,50.0,47.08,2026-05-26 15:08:51
160,2025-05-01 13:12:37,Sucursal Rosario,Santa Fe,Removedor de pintura,Pinturas y químicos,True,Boca de inspección,96.0,179.37,2026-04-26 13:12:37
161,2025-03-01 21:46:00,Sucursal Rosario,Santa Fe,Pala ancha,Jardinería,False,Boca de inspección,55.0,64.91,
162,2025-08-31 04:47:23,Sucursal Córdoba,Córdoba,Tarugos plásticos,Fijaciones,False,Boca de inspección,239.0,73.46,
163,2025-05-01 03:23:42,Sucursal Tucumán,Tucumán,Aerosol anticorrosivo,Pinturas y químicos,True,En bandeja,108.0,139.06,2026-11-21 03:23:42
164,2025-02-18 15:09:24,Sucursal Mendoza,Mendoza,Barniz para madera,Pinturas y químicos,True,Enviado cliente,59.0,89.89,2026-08-10 15:09:24
165,2025-02-04 02:31:32,Depósito Central,Buenos Aires,Alicate universal,Herramientas manuales,False,Retirado de bandeja,54.0,82.2,
166,2024-12-10 16:41:30,Depósito Central,Buenos Aires,Fertilizante granulado,Jardinería,False,Boca de inspección,90.0,55.09,
167,2024-11-09 05:49:10,Depósito Central,Buenos Aires,Regadera plástica,Jardinería,False,Retornado inventario,100.0,167.86,
168,2025-04-02 09:36:12,Sucursal Córdoba,Córdoba,Tijera de podar,Jardinería,False,Empacado,127.0,144.04,
169,2025-03-27 04:22:30,Sucursal Córdoba,Córdoba,Lámpara LED 9W,Electricidad,False,Devuelto cliente,73.0,71.88,
170,2024-10-21 19:48:40,Sucursal Rosario,Santa Fe,Cable unipolar 2.5mm,Electricidad,False,Autorizado venta,61.0,57.04,
171,2025-07-07 00:52:28,Sucursal Córdoba,Córdoba,Silicona selladora,Adhesivos y selladores,True,Autorizado venta,57.0,69.73,2027-02-24 00:52:28
172,2024-10-04 19:37:50,Sucursal Tucumán,Tucumán,Barniz para madera,Pinturas y químicos,True,Recibido,59.0,78.13,2025-11-20 19:37:50
173,2025-08-16 22:32:06,Depósito Central,Buenos Aires,Removedor de pintura,Pinturas y químicos,True,Retirado de bandeja,78.0,178.14,2025-11-15 22:32:06
174,2024-10-29 02:28:41,Sucursal Rosario,Santa Fe,Caño galvanizado 1m,Plomería,False,Recibido,88.0,47.31,
175,2024-11-14 21:03:30,Sucursal Rosario,Santa Fe,Sellador acrílico,Adhesivos y selladores,True,Retornado inventario,86.0,111.32,2025-04-05 21:03:30
176,2025-05-18 04:41:42,Sucursal Tucumán,Tucumán,Arena fina m3,Materiales construcción,False,En inspección,241.0,450.62,
177,2024-11-17 15:36:52,Depósito Central,Buenos Aires,Disyuntor 25A,Electricidad,False,Recibido,80.0,156.13,
178,2025-07-21 03:11:20,Sucursal Córdoba,Córdoba,Pala ancha,Jardinería,False,En bandeja,116.0,138.22,
179,2025-06-07 19:01:07,Depósito Central,Buenos Aires,Caño galvanizado 1m,Plomería,False,Devuelto a proveedor,73.0,144.98,
180,2025-02-27 11:17:24,Depósito Central,Buenos Aires,Llave inglesa,Herramientas manuales,False,Retornado inventario,80.0,135.83,
181,2025-05-06 03:24:33,Sucursal Tucumán,Tucumán,Lámpara LED 9W,Electricidad,False,Removido inventario,95.0,65.76,
182,2024-10-11 04:35:43,Sucursal Córdoba,Córdoba,Disyuntor 25A,Electricidad,False,,58.0,69.15,
183,2025-02-12 22:45:55,Sucursal Tucumán,Tucumán,Guantes de trabajo,Protección personal,True,Enviado cliente,53.0,106.34,2025-09-29 22:45:55
184,2025-02-11 17:25:25,Sucursal Rosario,Santa Fe,Destornillador Philips,Herramientas manuales,False,Autorizado venta,47.0,88.44,
185,2025-05-05 22:33:24,Depósito Central,Buenos Aires,Bomba de agua 1HP,Plomería,False,En bandeja,74.0,111.51,
186,2025-03-17 07:00:55,Sucursal Rosario,Santa Fe,Regadera plástica,Jardinería,False,En inspección,97.0,97.37,
187,2025-04-10 00:10:38,Sucursal Mendoza,Mendoza,Lámpara LED 9W,Electricidad,False,Enviado cliente,91.0,143.16,
188,2024-12-23 03:49:24,Sucursal Mendoza,Mendoza,Gafas protectoras,Protección personal,True,Devuelto a proveedor,,199.29,2025-11-22 03:49:24
189,2025-04-19 08:54:47,Sucursal Córdoba,Córdoba,Manguera 15m,Jardinería,False,Retirado de bandeja,58.0,16.16,
190,2025-08-16 19:31:20,Sucursal Rosario,Santa Fe,Disyuntor 25A,Electricidad,False,Retornado inventario,42.0,68.3,
191,2024-09-20 23:29:06,Depósito Central,Buenos Aires,Pernos con tuerca,Fijaciones,False,En inspección,177.0,195.43,
192,2025-06-07 17:10:30,Depósito Central,Buenos Aires,Fertilizante granulado,Jardinería,False,Empacado,101.0,38.33,
193,2025-06-23 10:05:18,Sucursal Córdoba,Córdoba,Cable unipolar 2.5mm,Electricidad,False,Retirado de bandeja,85.0,150.25,
194,2024-10-31 00:10:25,Sucursal Rosario,Santa Fe,Caja de tornillos,Fijaciones,False,En bandeja,137.0,110.89,
195,2025-06-08 06:28:31,Sucursal Mendoza,Mendoza,Casco de seguridad,Protección personal,True,Retornado inventario,84.0,190.75,2026-09-30 06:28:31
196,2025-08-26 03:18:00,Sucursal Tucumán,Tucumán,Cinta aisladora,Adhesivos y selladores,True,Recibido,89.0,151.73,2026-07-22 03:18:00
